العيار,سعر البيع,سعر الشراء,النسبه,الحاله
عيار 24,6840 ج.م,6782.75 ج.م,‎-0.08%,هبوط
عيار 22,6270 ج.م,6217.5 ج.م,‎-0.08%,هبوط
عيار 21,5985 ج.م,5935 ج.م,‎-0.08%,هبوط
عيار 18,5130 ج.م,5087.25 ج.م,‎-0.08%,هبوط
جنيه ذهب,47880 ج.م,47480 ج.م,‎-0.08%,هبوط
عيار 999,112 ج.م,107 ج.م,‎-0.83%,هبوط
عيار 925,103.75 ج.م,99 ج.م,‎-0.83%,هبوط
عيار 900,100.75 ج.م,96.25 ج.م,‎-0.83%,هبوط
عيار 800,89.75 ج.م,85.75 ج.م,‎-0.83%,هبوط
عيار 600,67.25 ج.م,64.25 ج.م,‎-0.83%,هبوط
الجنيه الفضة,830 ج.م,792 ج.م,‎-0.83%,هبوط
